user_id,user_idx,n_train_items,n_test_items,recommended_items_top10,actual_test_items,hits_top10,n_hits_top10,precision@10,recall@10,ndcg@10,precision@50,recall@50,ndcg@50
AGOCGNCMX5ERMMXJUYIWEVHJLA5Q,1079,2,1,B09613N9S9|B0R0VSOW566|B0BBA02HDL5|B0JRGE73P4P|B0I1L1T895W|B0AUULSMLOQ|B0IOHRP3EO3|B07JPB3SRYA|B0KKSOIESWF|B0O2D3ZFOJX,B09613N9S9,1,1,0.14258283927871723,0.45724242690634753,0.28516567855743447,0.028516567855743448,0.8139816515819949,0.3361526815477712
AGZEZQNGJRLAB5CB3NBKP455GDPA,1206,3,1,B07PC4ZTGB|B08J59HCX3L|B0D6BLMUON1|B02F3VGVQII|B0JP3BSS2BU|B0KN10L9AJV|B0NB4DOG2SW|B0W152CS8X1|B0ZNWR46B5P|B04AGJZJ3KV,B07PC4ZTGB,1,1,0.09746310844622014,0.3388025108197421,0.19492621689244027,0.019492621689244028,0.5303268451598593,0.15531260032247057
AHFVAQGFRCBBF6GO5YWPUX7FL6PA,1377,2,1,B0BXNW1ZWV|B0I58QRZQV0|B0PLZ8WF2ZN|B09TJOJLF78|B0F2K0WI11P|B0N9K721SXL|B0NSCUFM41P|B0R1WRY0Y4P|B0GMT3FSI6T|B0TZ9K8D87B,B0BXNW1ZWV,1,1,0.07009931710154489,0.21438001716760374,0.14019863420308978,0.014019863420308979,0.48332658763698166,0.1998449444683102
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ,214,2,1,B0BDVR0XJ5E|B00I73OHTV6|B0UBGN36FME|B0A4TOOOG47|B07TSE8AR3Z|B002V9GPNBE|B072I8H6A9E|B05VCN1BN0Z|B0M416QV8EG|B0HJIFKYQ5W,B0BN2VJQPP,0,0,0.0005,0.001,0.001,0.0001,0.053508919612045805,0.037019850585277306
AGYMXISRHPPKVDSKMUIJJSEE2J7A,1195,2,1,B0C78JQ42N|B0CX6U1ME5U|B0T8AV2OV5F|B0K8752BQET|B0QH5O4AJK3|B0PT3QYCHVX|B0GJU3RGXWK|B0YLHY8X5LD|B0E2TS06YYC|B08GJNW06B3,B0C78JQ42N,1,1,0.017477237372393435,0.042450255440441544,0.03495447474478687,0.0034954474744786873,0.03043182149989846,0.07025569033891632
AGGD5QJ2BJIAEEAP5AZ3YDK3HRFQ,977,4,2,B0CC8ZC5GW|B0AEW20M6LB|B0YSOIJQD6A|B0QWYNUN8HR|B0PO78YXUVV|B0UPBTS2MZ6|B0NLOBJAVE8|B0QTKPAZZCA|B0XHYS6NUQC|B0ZZMI8D74U,B0CC8ZC5GW|B0C6SV9P54,1,1,0.05499372386499912,0.22133008859667336,0.10998744772999824,0.010998744772999825,0.30984564747410687,0.08731181696139068
AE3HMJT4QXBXEIH7675BA6FCJUSQ,27,1,2,B0BNDBVDDZ|B04DOZ6O6BV|B0WE0WFG7VQ|B0D962UYWEM|B02ITJMPUCB|B0FFS5MS6KM|B0R3OGWAQDW|B0YHI42DV7F|B0QOOVRVIYU|B0JJOMBR2D4,B0BNDBVDDZ|B0BWRK31R3,1,1,0.10195077900579927,0.27052311997301787,0.20390155801159854,0.020390155801159854,0.39485931397002744,0.2336963533412454
AEE2MAD2PYIPYF36P5TVUU4PP7RQ,143,2,2,B0C2812FK8|B0IH7RNRMGU|B0WSI4GHD5C|B0AQNVP9OIM|B0L1G0YY24O|B0YPRY3RLLU|B03T6W7ZHE3|B0N61Y14MJN|B0QF23V4G8X|B0KPIK339AJ,B0C2812FK8|B08WCMCT6P,1,1,0.021405469331686383,0.08981313259446341,0.042810938663372766,0.004281093866337277,0.20709878058661166,0.07205030139592711
AEIK23LP7GYQ4ZAIZPZEPJKGHL5A,216,1,2,B01ZPXGA38E|B088RQMXP3J|B0RM82J2OAI|B0472TLJVWP|B0M4JAX6ZJL|B02UAT3M8AT|B04M5DSKJ33|B0GW6QFSSRV|B0R7PVUWI1P|B0WXWGH7CKG,B0BFBLZZNG|B0BTSSZZTM,0,0,0.0005,0.001,0.001,0.0001,0.001,0.001
AEE3WGFJ7OMW4CTBPGU6NRZIMPVA,144,3,1,B0BXNW1ZWV|B0UYD5X55XJ|B0NNTO3YO1W|B0AJKKEPSWK|B0RU7N840OG|B0HQ0PZKENS|B0AYAQN0CS2|B0RLUCD9YCI|B0O6WM17KQB|B0B340ALF4Q,B0BXNW1ZWV,1,1,0.11117523438310198,0.3466140945835523,0.22235046876620396,0.022235046876620396,0.6346570050019793,0.26271873930513373
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_1,215,2,1,B0BN2VJQPP|B0T0EHMKP04|B0U0PBDQHAO|B0SU1NOC320|B0U4NH9FLLI|B0RI16PLJFB|B08MLY0QOX1|B0DH3JRDXZE|B0WW45RXVJ6|B04T4ME29S0,B0BN2VJQPP,1,1,0.10063862433349209,0.302150676617798,0.20127724866698418,0.02012772486669842,0.5203226355008754,0.25924786164967617
AERDIR65RMMO7CJ2OOP7HB5X2RJQ,334,1,3,B0B8VN78QN|B0MKAXFSVA7|B0IKWBNFH67|B0HM5Q524U5|B0F920SNWTT|B07PKU4T85J|B0J41QES6YZ|B0KKY32N1DY|B06386L3RFQ|B0BE96RLN25,B0B8VN78QN|B0B93L6V3C|B0BV7JF6GG,1,1,0.044654688032437675,0.12073386597920199,0.08930937606487535,0.008930937606487535,0.22051961542310414,0.13143453348299874
AH5KRM72WDRDNOETMZYTOWQGKWLA,1265,1,3,B05C3E9S43G|B0NDL5B84WO|B0LWTFLU864|B0HIPEIR74X|B0AM4LBXY71|B0J9IWMSUHZ|B0WAJDFX6JE|B0PKWC1K20Y|B0JKJPJAGJW|B09PW61VONL,B0B9M7B73Y|B0B93L6V3C|B0BRN5LK4F,0,0,0.0005,0.001,0.001,0.0001,0.010723606036102682,0.001
AEEC5WQ5JH36CBASHFKYGELDLSVQ,146,1,3,B0BMDHSNC9|B059JVZTTZF|B0EC8JKCO3O|B0W9QKFPMD7|B09TWLZOAG4|B0PCGIYWAX3|B0I10VK51EI|B0GHR26Q3FL|B0HG5RPPUWR|B02ZNYCIETP,B0BMDHSNC9|B0BRC5CYFS|B0BVBXGTWM,1,1,0.15139513048120287,0.47628534884871454,0.30279026096240574,0.030279026096240575,0.9129366952070406,0.34717156475377176
AGC52K22FKAACTTGBP45PEU3LWJQ,933,3,3,B08544Q86W|B0O7RA095ST|B0X4O7BX6D2|B0651FJQ41I|B0CT4C4WCNQ|B0RS6GD6LVF|B0HFPLYKWZ3|B0CXLI7RLBZ|B0LWN0FJZ4M|B0AZJG0R9CC,B08544Q86W|B08544Q86W|B08544Q86W,1,1,0.1144332009153759,0.3440183142307602,0.2288664018307518,0.02288664018307518,0.548174575075617,0.30511615450102936
AGECXZ7TFLSWEXDU5LSXJQWT6LCA,954,2,3,B0BFWNWSY7|B0AE467SECU|B04YMRIVU21|B0NKT7M6NRQ|B0P0QA8G7HB|B0S10R32HXB|B0Z48BJOO86|B0MZ9BTK637|B0GQXS4IWTU|B0NDJH1NGOK,B0BFWNWSY7|B0B5WNSSW7|B0B93L6V3C,1,1,0.14834713941716413,0.41432688758225655,0.29669427883432825,0.029669427883432825,0.6566363739701646,0.3638679311483848
AEWLAR5ICCUUCPHH3RGO2YDUTMMQ,408,5,1,B0BXNW1ZWV|B060X5XYEMN|B04S7BVLA91|B030Y24U0FY|B03D7XA2FZT|B01I1VJR8OR|B0W6RGBMLVO|B031Z9HF40Y|B0A7FEAW1YB|B0407COLC56,B0BXNW1ZWV,1,1,0.07033475857483926,0.2383681043426198,0.1406695171496785,0.014066951714967852,0.4286134194726485,0.0971967551723347
AFWHIXA357OHTHLQDJGMLGIX55KQ,799,2,1,B0BXNW1ZWV|B0MOPLWNF9Q|B04CKHVFLOH|B003PMWW43D|B00KEF4ETK6|B04967VX3X6|B0DJ6XD4WVH|B0JDVTLY4ZC|B0DV0WN78Z6|B0LQFAAZG6C,B0BXNW1ZWV,1,1,0.009684735585324504,0.04804987148920303,0.019369471170649008,0.0019369471170649008,0.20184557156931351,0.001
AGBIVDJDSHTBPDGGERWDI35QRZEA,926,2,1,B0BPS63PXC|B0RWO8FWWF7|B00NMSOX84W|B0J58BRLYG3|B047XP00P91|B04DX1NIQN8|B0D4JZIK2DZ|B0TQYV1KFPR|B0M6T54Z083|B0P9J12ZJKU,B0BPS63PXC,1,1,0.03375849477634099,0.0891496195289428,0.06751698955268198,0.006751698955268198,0.22093159172769258,0.053733128294023796
AGND5YEIUMFTPNEGULXVMEBCQ6XA,1062,2,2,B0BSG2N91N|B06X09SMB8R|B0F6LNDT0GM|B07Q1WQ4VOO|B0FCCUJICJC|B0VAYNZBQ7A|B07M5JIAXUO|B0FBAQJSJ0U|B0787ZIK9F4|B0ZMCUNT4C5,B0BSG2N91N|B0BXNW1ZWV,1,1,0.13829216657541363,0.3632655805073897,0.27658433315082726,0.027658433315082727,0.7098122000430545,0.31665045444161793
AHX6SBBEU7IRVGW6LOT3GVIU7T7A,1600,1,2,B0BTSSZZTM|B0WXWIFX3FD|B06RFIJRG9G|B051WI1DL0X|B0H95USXZD9|B0RY7YPQ8IQ|B01SQKRC3PE|B0936P12DM4|B080THBP8F0|B0T5HT7ZT11,B0BTSSZZTM|B0BTSSZZTM,1,1,0.07221434667551051,0.18475003202593623,0.14442869335102101,0.014442869335102103,0.392311711614661,0.1807829715609547
AFR6B6TSHD6KORN3UIZD7S4O5GCQ,739,2,1,B0MYPFW0S09|B07KN3H80OJ|B07TUEXG0B8|B0ZFJMN6GYT|B0A6IEDEXBD|B07A0TL77TV|B0FWOURTF5G|B0E3C0130U3|B0V7ANAXIZN|B0AY9RUGA5R,B0BNDBVDDZ,0,0,0.0005,0.022913776102543134,0.001,0.0001,0.04679865844844596,0.033662724257971545
AGNQZEW6BYHICG2WUUEWMOTWGGWQ,1066,1,2,B0BS3DLFJH|B0PU9GQMXLT|B0HN2JRSF5Q|B00S50BOUBF|B0WQ4AN32CD|B08I3AFCYVL|B08RLDC595T|B0AB1DL2U3F|B0DL99YPKLH|B059KH8UDJQ,B0BS3DLFJH|B0BVBXGTWM,1,1,0.004374115704579608,0.03680197151030408,0.008748231409159216,0.0008748231409159216,0.21014245585967947,0.001
AEN6WTQLRAZKOKJBZK3UN74Q6JLA,286,1,2,B0VIXUJX9S7|B0G2P9TZ21R|B0RPQO3A2R7|B0467RO4C47|B0VZRVDDNXK|B0O3SV0EBKQ|B0T041VJJ9H|B0WPZ00CQJG|B07DO74EURL|B0QHHGSPWJP,B0BSG2N91N|B0BF59LWP7,0,0,0.0005,0.01450861828575136,0.001,0.0001,0.001,0.043183095573860915
AH2IB5VEDFNG2HMMS3WYXO4JYZMQ,1221,2,2,B0X0AMEN9NE|B0Q9WPH282K|B0SMSPLG4P5|B0QJXWMRB4M|B03N0RXAZBS|B0WINKI6KMW|B0HR7MXID5T|B0VQV20NKMI|B0HJVN6T43L|B0IS1LU3AH4,B0BQC9K362|B0BF59LWP7,0,0,0.0005,0.001,0.001,0.0001,0.001,0.001
AGMZEKL57GT3SNPNR3654R7MNBKQ,1054,1,2,B0BTSSZZTM|B0RCPEDU38N|B0YHSEYF4UE|B07R9NJ0K3X|B0CXMJQC70Z|B055BRHSF80|B08RIGMWKPA|B01CIPB8L9Q|B01RG558TUU|B0LXYCWKIHP,B0BTSSZZTM|B0BRTM7D2D,1,1,0.04773308352208042,0.14735390771971738,0.09546616704416085,0.009546616704416085,0.29347261436866634,0.13525765080646196
AE5EYXGCU4D2O4X3OSZPYM5T55RQ,53,5,1,B068O7TQVZ3|B04PA43ZZZB|B0VWWNY13PX|B0OZGVL2G6N|B0AO2DE78XM|B0ZIYVLILYP|B0K5RIY4284|B0PLFZ67LZL|B0R8W7G5F5C|B0CPP8INZSO,B0BPS63PXC,0,0,0.0005,0.04662668158490806,0.001,0.0001,0.001,0.001
AFQP3I2UOC4ZR3YWMSCSQ5OYW33A,734,2,1,B0BPS63PXC|B0WDUUI2COZ|B0CSZ6F2JGW|B03935NOCIE|B08NYRY8EZN|B0A3KG94DSW|B0L7H3QBJVD|B03G3F5HTUM|B0IKXBT1E0V|B0TZZ60O2SX,B0BPS63PXC,1,1,0.06657700425063072,0.19393190422947526,0.13315400850126144,0.013315400850126145,0.31880279728367544,0.14119007252431212
AFOIRY7SL52ZM4RW52YP2QIDWYNQ,703,2,7,B0BMPWZGLQ|B0JHIQZRLOE|B0755P9NPSN|B0QRWU4EP1E|B02YLKXZZLM|B0YEN8MCFGE|B0WTKHL6IGG|B0VODYTEEWZ|B0FNECDSSTA|B0HQYUG8YKX,B0BMPWZGLQ|B0B93L6V3C|B0BGPB2K9G|B0CCVB4W21|B0BQML7KF8|B0BRKWP7FV|B0BL8HZQHQ,1,1,0.020041239870707307,0.05929736843372927,0.040082479741414614,0.0040082479741414614,0.1197874302023644,0.04291399119730661
AFG6CHCXDHMBMTMP5LETQCS23OXQ,596,3,1,B0DSWCQTJLE|B05HALVD94I|B0WC0Z258FM|B02A3E6JVBE|B0IS85HFN8C|B0VASV8ABT9|B0QMQOAB1AB|B0P04FSDW46|B0IOX8CDS09|B0C11VYZ7LU,B0BQML7KF8,0,0,0.0005,0.004750638270263622,0.001,0.0001,0.057229601397153905,0.001
