userID,recommended_items,groundtruth_items,recall@10,precision@10,ndcg@10,recall@50,precision@50,ndcg@50
AE23RP4B52KVZCFCCWLARIXJQSDA,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF",B0B5VSDWL1,0.0,0.0,0.0,0.0,0.0,0.0
AE2474FTPUNYRFULFRSBYFQ3XPEQ,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF",B07VMSC7KP,0.0,0.0,0.0,0.0,0.0,0.0
AE2B3RQGCVX2FVQM6QYVPWW3723Q,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B07BX2487R,B083QQ6DPG",0.0,0.0,0.0,0.0,0.0,0.0
AE2DF2AYLOP3S6C7VNFZP7USD2XQ,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B07ZS147P5,B09XLTBPNC",0.0,0.0,0.0,0.0,0.0,0.0
AE2DOFODZHYFQHFUZ65LLY74XXGA,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B09TSHG1Q4,B0B7X8TMR5,B0BR8KS18L,B0BTDRTXSX,B0BWRK31R3",0.0,0.0,0.0,0.0,0.0,0.0
AE2GB33EHZOGUBHQNM2OMGUMVAWQ,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B0716ZZCX4,B07J32G837,B07KY8TF2C",0.0,0.0,0.0,0.0,0.0,0.0
AE2IFLEVBOGFVO5737M4VJYJQ6JQ,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B09XT3G9ZG,B0B88VY57J,B0BBZ48T15,B0BGL22M2J,B0BHKT8156,B0BKSMFK1M,B0C9D8SQD8",0.0,0.0,0.0,0.0,0.0,0.0
AE2M5SHZ4T5KP5HSK7IGSZQUQ2UA,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B0BZDCTJ6L,B0CH8V66LC",0.5,0.1,0.38685280723454163,0.5,0.02,0.38685280723454163
AE2MZWGRYTLEKEW7KMYVVCSYEDJQ,"B0776G4LYH,B019JAYQJW,B015V2I9HM,B01ICC6YE8,B01MRBJU1D,B06WW85VLS,B08WZ2MR5P,B07MTRF1VL,B0C7L9D9TB,B07D5KSVT9,B01HZQE444,B0BSLJYN7J,B076HG7V1V,B016U1J42C,B01I90KUW0,B0756KGMMD,B01L9JJMMM,B078YC452J,B07QHM8M1Z,B07SV3SQL4,B09BR394HQ,B07K6QSX2V,B07CLJC8LW,B078SJKZBN,B01D3GREW4,B0789GF8KY,B01G2VMEIQ,B071G9CFVH,B097NWJ22Q,B01N1FTNGE,B07253V7TH,B07BQL5NQK,B07K7T77CF,B01FEE35QM,B015IN10OS,B01A768VNO,B07DVSZ529,B01997MOLM,B076VVYBY8,B07CN3G9T5,B096D8PF88,B01C60R2K2,B07R4GK82B,B01GQTS3AM,B071Y38BWV,B0BLVKXF1X,B07Q9FLD5Q,B0BWTP63M2,B01MFH6CRV,B07FTS3PHP",B0C36RQ5HP,0.0,0.0,0.0,0.0,0.0,0.0
AE2NLADHRSX7O4BT433BK4UHBTPA,"B0003TOR7U,B0CH8V66LC,B015DTI1OY,B015DNVQRE,B015DN2KQ0,B015DLYPJM,B015DKLH30,B015DIT176,B015D70KGI,B015D4HLU4,B015EYND1Y,B015ETM8ME,B015EST3G4,B015ESPGNS,B015EPBJOG,B015EN81EY,B015EJDE7M,B015EH9E78,B015G8KYQA,B015G8A7IK,B015G7XFSK,B015G428C2,B015G3OWUY,B015FRRZ3M,B015EZYQX2,B015EZOPQK,B015GJF6SU,B015GHRUKY,B015GFVDXG,B015GF6H3C,B015GE4RRG,B015GB7A2I,B015GAKXT6,B015GAEYOQ,B0C7LQCV7C,B0C7LQ9Z78,B0C7LQ43RL,B0C7LQ25BD,B0C7LQ1DCW,B0C7LPS424,B0C7LPFZXJ,B0C7LJ99BC,B0C7MB1G2W,B0C7LVT69K,B0C7LTST92,B0C7LSG7VR,B0C7LRXST4,B0C7LRS4P2,B0C7LQNLBL,B0C7LQHVRF","B0B93L6V3C,B0BCHTPNFD,B0BL2CK38K",0.0,0.0,0.0,0.0,0.0,0.0
